driverId,position,time,lap
max_verstappen,1,1:39.019,1
leclerc,2,1:40.230,1
perez,3,1:41.063,1
sainz,4,1:41.659,1
hamilton,5,1:42.288,1
russell,6,1:42.662,1
alonso,7,1:43.608,1
bottas,8,1:44.154,1
stroll,9,1:44.670,1
norris,10,1:45.364,1
ocon,11,1:45.967,1
albon,12,1:46.453,1
sargeant,13,1:46.855,1
hulkenberg,14,1:47.339,1
tsunoda,15,1:47.791,1
piastri,16,1:48.214,1
zhou,17,1:48.467,1
kevin_magnussen,18,1:49.330,1
gasly,19,1:49.649,1
de_vries,20,1:49.959,1
max_verstappen,1,1:37.974,2
leclerc,2,1:38.750,2
perez,3,1:38.862,2
sainz,4,1:38.933,2
hamilton,5,1:39.166,2
russell,6,1:39.590,2
alonso,7,1:39.792,2
bottas,8,1:39.956,2
stroll,9,1:39.892,2
norris,10,1:40.433,2
ocon,11,1:40.408,2
albon,12,1:40.430,2
sargeant,13,1:40.467,2
hulkenberg,14,1:40.720,2
tsunoda,15,1:40.837,2
piastri,16,1:40.830,2
zhou,17,1:41.091,2
gasly,18,1:40.438,2
kevin_magnussen,19,1:41.521,2
de_vries,20,1:41.289,2
max_verstappen,1,1:38.006,3
leclerc,2,1:38.658,3
perez,3,1:38.830,3
sainz,4,1:39.042,3
hamilton,5,1:39.220,3
russell,6,1:39.093,3
alonso,7,1:39.100,3
bottas,8,1:39.397,3
stroll,9,1:39.625,3
norris,10,1:39.777,3
ocon,11,1:39.948,3
albon,12,1:40.143,3
sargeant,13,1:40.349,3
hulkenberg,14,1:40.484,3
tsunoda,15,1:40.243,3
piastri,16,1:40.691,3
zhou,17,1:40.596,3
gasly,18,1:40.643,3
de_vries,19,1:40.914,3
kevin_magnussen,20,1:41.978,3
max_verstappen,1,1:37.976,4
leclerc,2,1:38.825,4
perez,3,1:38.758,4
sainz,4,1:38.985,4
hamilton,5,1:39.198,4
russell,6,1:39.261,4
alonso,7,1:39.548,4
bottas,8,1:39.823,4
stroll,9,1:39.745,4
ocon,10,1:39.543,4
albon,11,1:39.761,4
norris,12,1:42.267,4
sargeant,13,1:40.644,4
tsunoda,14,1:39.950,4
hulkenberg,15,1:41.004,4
piastri,16,1:40.718,4
zhou,17,1:40.853,4
gasly,18,1:40.894,4
de_vries,19,1:40.373,4
kevin_magnussen,20,1:40.773,4
max_verstappen,1,1:38.035,5
leclerc,2,1:38.664,5
perez,3,1:38.404,5
sainz,4,1:39.128,5
hamilton,5,1:39.335,5
russell,6,1:39.549,5
alonso,7,1:39.662,5
stroll,8,1:39.144,5
bottas,9,1:41.033,5
ocon,10,1:40.281,5
albon,11,1:40.606,5
norris,12,1:40.664,5
sargeant,13,1:40.902,5
tsunoda,14,1:41.131,5
hulkenberg,15,1:41.002,5
piastri,16,1:40.862,5
zhou,17,1:40.814,5
gasly,18,1:40.818,5
de_vries,19,1:40.630,5
kevin_magnussen,20,1:41.340,5
